slug,source,substrate,severity,prompt_injection,malicious_code,secret_exposure,untrusted_fetch,heuristic_hit_count,heuristic_flags,rationale,classifier_error,content_len,elapsed_s,stars,installs,official_badge,defender_positive
rysweet-azlin-economist-analyst,skillhub,skills,L0,False,False,False,False,0,,"Pure educational skill teaching economic frameworks. No code execution, LLM manipulation, or credential handling. External references are documentation citations only.",,20000,11.37,2,4,False,False
openclaw-skills-squall0925-umeng-uapp-integration,skillhub,skills,L0,False,False,False,False,0,,"Standard Android SDK integration docs for legitimate analytics provider. Repos are trusted (Maven Central). Privacy compliance guidance included. No injection, obfuscated exec, or credential risks.",,6346,29.74,0,0,False,False
team-attention-plugins-for-claude-natives-clarify,skillhub,skills,L1,False,False,False,False,0,,"Legitimate service integration. Credentials managed server-side via Membrane auth proxy. No code execution, prompt injection, or malware patterns. Normal third-party service trust model.",,16495,50.52,696,7,False,False
openclaw-skills-yuzengbaao-opencli-yuzengbao,skillhub,skills,L2,False,False,True,True,0,,Credentials (cookies/Bearer tokens) for authenticated requests; untrusted URL fetching for API discovery; external CLI execution; Browser Bridge extension,,3408,18.14,0,0,False,False
steipete-codexbar,skillhub,skills,L0,False,False,False,False,0,,"Standard macOS app development guidelines. Emphasizes code signing, notarization, testing, proper credential storage (~/.profile). No risk signals.",,20000,31.95,9703,23,False,False
openclaw-skills-deeakpan-clawracle-resolver,skillhub,skills,L2,False,False,True,True,0,,Requires blockchain private key (CLAWRACLE_AGENT_KEY) + fetches untrusted queries from IPFS & external APIs. LLM-driven API construction reads potentially malicious IPFS data. No explicit jailbreak/ma,,9127,52.83,0,0,False,False
openclaw-skills-all-weather-strategy,skillhub,skills,L0,False,False,False,False,0,,"Benign financial portfolio calculator using standard SLSQP optimization. No malware, credential handling, or jailbreak attempts. AI guidance describes normal skill interaction patterns, not host LLM c",,2127,16.65,3729,0,False,False
openclaw-skills-c0ldsmi1e-llm-seo,skillhub,skills,L0,False,False,False,False,0,,"Legitimate marketing strategy guide for AI visibility. No code execution, credential handling, or automatic content fetches. External links are references only, not runtime dependencies.",,3206,32.24,0,0,False,False
openclaw-openclaw-goplaces,skillhub,skills,L0,False,False,False,False,0,,"Standard CLI wrapper for Google Places API. Normal OAuth/API-key auth. Published on Homebrew/GitHub. No code execution, injection, or exfiltration vectors.",,20000,47.28,343535,273,False,False
openclaw-skills-haio-publish-on-qutke,skillhub,skills,L1,False,False,False,False,0,,Legitimate file hosting integration. Transparent external API usage to on.qutke.cn. Credentials stored securely (~/.onqutke/credentials with chmod 600) and used only for authentication. No obfuscation,,7176,42.92,0,0,False,False
openclaw-skills-stonestorm2024-starlord-distill,skillhub,skills,L0,False,False,False,False,0,,"Character persona skill based on MCU public films. No executable code, credentials, or jailbreak payloads. Pure roleplay instruction with proper disclaimers.",,1496,55.68,0,0,False,False
openclaw-skills-solitaire2015-event-watcher,skillhub,skills,L2,False,False,False,True,0,,Accepts untrusted webhook JSONL payloads and routes them to agents. Default prompt injection mitigation (safety header) can be disabled via config. Medium risk from external event sources without fixe,,3181,108.77,0,0,False,False
openclaw-skills-nemovideonemo-video-to-audio-converter,skillhub,skills,L2,False,False,False,True,0,,"Fetches videos from arbitrary user-specified URLs; external service dependency; proper token handling. No injection, malware, or exfiltration detected.",,11558,23.95,0,0,False,False
openclaw-skills-openclaw-moltbook,skillhub,skills,L1,False,False,False,True,0,,"Non-essential third-party social integration; fetches untrusted Moltbook feed content; credentials stored locally without exfiltration. Minor API quality issues (submolt filtering). No code execution,",,3136,44.69,3724,0,False,False
openclaw-skills-yuyonghao-workflow-engine,skillhub,skills,L0,False,False,False,False,0,,"Legitimate DAG-based workflow orchestration engine. Standard async task execution, local checkpoint persistence, event system. No external API calls, credential handling, code obfuscation, or untruste",,4747,69.03,3716,0,False,False
molt-bot-clawdbot-blogwatcher,skillhub,skills,L0,False,False,False,False,0,,"RSS feed reader. Standard Go CLI, user-controlled URLs, no injection/code exec/credential risks.",,20000,20.7,343592,4,False,False
openclaw-skills-polymarket-whale-copier,skillhub,skills,L2,False,False,True,False,0,,"Requires Polymarket private key (env var storage is security anti-pattern), enables auto financial transactions. No exfiltration evidence, but credential handling risks exposure via process listing/hi",,3496,47.96,3676,0,False,False
openclaw-skills-tc1993-qa-skill,skillhub,skills,L0,False,False,False,False,0,,"Benign QA/testing skill with standard XCTest templates, test documentation, and quality metrics. No malware, exfiltration, or injection attempts detected.",,7554,60.5,0,0,False,False
google-labs-code/stitch-skills/remotion,claudemarketplaces,skills,L0,False,False,False,False,0,,Google Labs official repo. Popular (19.8k installs). Remotion is legitimate video library. No suspicious patterns detected.,,417,11.34,4500,19800,False,False
openclaw-skills-thomastrumpp-ztp,skillhub,skills,L1,False,False,False,False,0,,"Defensive security auditor with transparent command structure and external tool dependencies. No injection, obfuscation, or credential exfiltration patterns. Minor L1 risk from unscoped external tool ",,3224,32.86,0,0,False,False
openclaw-skills-james-southendsolutions-camino-places,skillhub,skills,L2,False,False,False,True,0,,Fetches location and photo data from external third-party API without validation; API key required in settings,,5696,62.13,0,0,False,False
openclaw-skills-a4205586-coinank-openapi-skill,skillhub,skills,L1,False,False,False,False,0,,"Third-party crypto API integration. Standard credential usage, no injection/malware detected. Minor risk: potential weak logging of curl commands with API key in errors.",,1012,17.69,0,0,False,False
dontbesilent2025/dbskill/dbs-benchmark,claudemarketplaces,skills,L1,False,False,False,False,0,,"Minor quality issue (empty description), third-party GitHub dependency. Clean install command, benign purpose (database benchmarking). No explicit security risk signals.",,411,41.53,2900,2800,False,False
openclaw-skills-jiangzhiyu-github-trending-daily,skillhub,skills,L2,False,False,True,True,0,,Fetches GitHub Trending data (untrusted source) without visible sanitization; uses DingTalk webhook credential. Risk of Markdown/URL injection in relayed messages.,,1365,65.18,0,0,False,False
vudovn-antigravity-kit-behavioral-modes,skillhub,skills,L0,False,False,False,False,0,,"Pure behavioral guidance document. Allowed tools restricted to read-only (Read, Glob, Grep). No code execution, credential handling, network fetches, or jailbreak patterns.",,9555,17.93,6840,9,False,False
davila7-claude-code-templates-task-execution-engine,skillhub,skills,L0,False,False,False,False,0,,"Markdown task manager using standard regex parsing, file I/O only, no code execution, subprocess, or external calls. Clean implementation, transparent code, user-scoped file operations.",,20000,35.62,23952,6,False,False
openclaw-skills-mmyg11-agent-browser-core-temp,skillhub,skills,L0,False,False,False,False,0,,"Educational documentation for web automation tool with explicit safety guidelines, domain allowlisting, and warnings against dangerous operations (eval, file access, arbitrary credentials). No code ex",,2215,56.47,0,0,False,False
scientiacapital-skills-workflow-enforcer-skill,skillhub,skills,L3,True,False,False,False,0,,Explicit prompt injection: injects mandatory protocol into ALL sessions/projects without exception; attempts to override user autonomy by preventing agent-skipping via 'no rationalizations' rules.,,19145,16.61,6,1,False,False
openclaw-skills-ivangdavila-matomo,skillhub,skills,L0,False,False,False,False,0,,"Standard analytics integration skill. Proper credential handling: recommends keychain/env storage, warns against chat exposure. All requests scoped to user's own Matomo instance. No malicious code, in",,4927,43.99,0,0,False,False
openclaw-skills-smiletm-drive-tools,skillhub,skills,L2,False,False,True,True,0,,Stores SMB/WebDAV/FTP credentials in config.json with no encryption guarantee. Fetches arbitrary files from user-configured remote systems. Expands storage access boundaries without documented input s,,4307,62.26,0,0,False,False
openclaw-skills-ivangdavila-cfo,skillhub,skills,L0,False,False,False,False,0,,"Benign role-play skill. Provides financial planning templates, checklists, and guidance; claims no external API calls, no data exfiltration, no code execution. Informational only.",,3397,10.94,0,0,False,False
openclaw-skills-hanxueyuan-subaru,skillhub,skills,L0,False,False,False,False,0,,"Benign automotive info assistant. Fetches public specs, pricing, reviews from trusted sources (subaru.com, dealer networks). No injection, malware, credential, or privilege risks.",,1340,21.65,0,0,False,False
openclaw-skills-orgx-power,skillhub,skills,L3,False,False,True,False,0,,"Unscoped elevated tool surface with unconstrained agent state mutation, config updates, session hijacking (clear/resume), and run control. Authorization gates optional ('should usually'). No input val",,3738,37.22,3711,0,False,False
microck-ordinary-claude-skills-algorithmic-art,skillhub,skills,L0,False,False,False,False,0,,"Algorithmic art generation using p5.js. No external data fetches, credentials, system calls, or code execution risks. Pure creative generative art tool.",,20000,14.25,150,22,False,False
openclaw-skills-gumadeiras-browsh,skillhub,skills,L1,False,False,False,False,0,,"Legitimate open-source text-based browser. Transparent setup (browsh + Firefox), no malicious patterns or obfuscation. Standard browser risk (web content), not plugin-specific.",,933,33.38,0,0,False,False
openclaw-skills-triplehippo-payment,skillhub,skills,L3,False,False,True,True,1,untrusted_fetch,Grants AI agent financial spending authority with sensitive API credential + integrates with untrusted external merchants. Intentional feature but high-risk: compromised agent can drain owner's wallet,,20000,51.65,0,0,False,False
lpding888-aiygw4-0-claude,skillhub,skills,L0,False,False,False,False,0,,"Project development guide with 8 workflow skill templates (frontend, backend, QA, deploy). Security practices include Casbin RBAC, encrypted credential vaults, transaction-based quota management, and ",,8936,16.63,1,1,False,False
openclaw-skills-techlaai-anycrawl,skillhub,skills,L2,False,False,False,True,0,,"Web scraping tool fetches arbitrary user-specified URLs and executes JavaScript via Playwright/Puppeteer. Core risk is untrusted content fetch (scrape, crawl, search). API credentials via env vars (st",,6911,36.16,0,0,False,False
openclaw-skills-opsun-deep-scraper,skillhub,skills,L2,False,False,False,True,0,,"Fetches untrusted content from arbitrary websites (YouTube, X/Twitter) and outputs unsanitized JSON. Downstream LLMs/parsers consuming this output without validation are at injection risk.",,1461,62.65,0,0,False,False
openclaw-skills-156554395-lsp-novel-writer,skillhub,skills,L0,False,False,False,False,0,,"Benign creative writing tool. No prompt injection, code execution, credential handling, or untrusted data sources. Local file I/O bounded to ./novels/ directory is intended functionality.",,2079,18.63,0,2,False,False
calcom-cal-com-web-design-guidelines,skillhub,skills,L2,False,False,False,True,0,,"Fetches unverified guidelines from GitHub (raw.githubusercontent.com) without version pinning, signature verification, or content hashing. Compromise risk if repo/network attacked.",,20000,36.96,40920,49,False,False
openclaw-skills-finloop-mktdata-skill,skillhub,skills,L2,False,False,False,True,1,untrusted_fetch,Makes HTTP requests to external financial API (papi-uat.finloopg.com); credentials handling undocumented; sourced from clawdhub (known malicious repository).,,8072,65.27,3686,0,False,False
openclaw-skills-fullstackcrew-alpha-cn-content-matrix,skillhub,skills,L1,False,False,False,True,0,,Content generation tool. WebSearch/WebFetch fetch public web sources; path construction sanitizes user input (tr -cd whitelist); bash ops are file-scoped; Agent invocation is system-internal. Main ris,,10091,25.38,0,0,False,False
161sam-forensic-playbook-reporting,skillhub,skills,L0,False,False,False,False,0,,"Template-based local reporting system. Generates standardized reports (weekly retro, audits, progress logs, revenue snapshots) to workspace/artifacts/. No external fetches, code execution, or LLM prom",,11939,38.42,0,1,False,False
openclaw-skills-kokoro-tts,skillhub,skills,L0,False,False,False,False,0,,"Benign TTS utility. Text passed as data to Node.js script, not executed. Configurable API endpoint defaults to safe localhost. No credentials, obfuscation, or payload injection vectors.",,2112,54.06,3652,0,False,False
openclaw-skills-roca-677-hindi-photo-video-maker,skillhub,skills,L1,False,False,False,True,0,,"Non-essential third-party video service with cloud rendering. Untrusted fetch inherent to function. No code injection/malware/exfil. Unknown service, proper auth/rate limiting.",,7843,34.27,0,0,False,False
xiaomi-mone-skill-creator,skillhub,skills,L0,False,False,False,False,0,,"Benign skill creation guide. Educational documentation with no malicious payloads, jailbreaks, or credential exposure. Explicitly recommends security best practices (dependency management via uv/pypro",,20000,47.6,1161,12,False,False
ynulihao-agentskillos-skill-creator,skillhub,skills,L0,False,False,False,False,0,,"Educational meta-documentation for skill creation. Promotes secure, modular design patterns and best practices. No malicious intent, code execution, or security risks.",,20000,61.57,343,1,False,False
openclaw-skills-satoreth-clawnalyst,skillhub,skills,L0,False,False,False,False,0,,"Clean API integration with single declared endpoint (api.clawnalyst.com). Proper credential scoping via CLAWNALYST_API_KEY env var. No code execution, obfuscation, or exfiltration. Transparent securit",,7622,23.18,0,0,False,False
tencentcloudbase/cloud-storage-web,skills.sh,skills,L1,False,False,False,False,0,,"CloudBase storage SDK from official tencentcloudbase org. Standard file operations, no explicit malicious indicators in the listing page shown.",,20000,56.13,0,0,False,False
maxritter-claude-codepro-setup,skillhub,skills,L1,False,False,False,False,1,malicious_code,"Project initialization utility. Runs standard commands (tree, ls, vexor). Reads local configs, writes documentation. No injection, exfiltration, or code execution vectors detected in skill runtime.",,12977,106.89,1605,5,False,False
rightnow-ai-openfang-helm,skillhub,skills,L1,False,False,False,False,1,malicious_code,Legitimate Helm + documentation skill. Minor concern: OpenFang docs mixed in (non-essential third-party content); mentions curl|sh install pattern in docs but doesn't execute it automatically.,,20000,22.41,16103,1,False,False
bash0c7-picotorokko-documentation-standards,skillhub,skills,L0,False,False,False,False,0,,"Documentation maintenance skill with standard guidance. Embedded tool example (picotorokko) shows normal dev workflows (git fetch, build, flash); no attempt to exploit host LLM or disable security con",,17005,47.76,1,1,False,False
openclaw-skills-sales-pipeline-tracker,skillhub,skills,L0,False,False,False,False,0,,"Benign sales CRM prompt. No code execution, no external fetches, no injection payloads. Clawdhub reference is repository metadata, not an embedded risk.",,2262,59.98,3662,4,False,False
openclaw-skills-capmonster,skillhub,skills,L2,False,False,False,True,1,secret_exposure,"Untrusted external API fetch (CapMonster Cloud) + API key credential required. Primary function circumvents CAPTCHA security. No code-level malware, injection, or exfiltration.",,13272,25.09,3652,0,False,False
estebankt-spendbearbackend,skillhub,skills,L0,False,False,False,False,0,,"Project documentation for personal finance system. Straightforward architecture, tech stack, and development guidelines. Demonstrates security awareness (Auth0, row-level security, no PII in logs). No",,20000,44.92,0,0,False,False
openclaw-skills-isaacloi1995-dot-neuro-note-assistant,skillhub,skills,L0,False,False,False,False,0,,"Medical documentation structuring assistant. Processes clinical notes locally, outputs organized summaries. No code execution, credential handling, external fetches, or LLM manipulation. Benign utilit",,385,94.11,0,0,False,False
openclaw-skills-exenvitor-k8s-prefect-flow-builder,skillhub,skills,L0,False,False,False,False,0,,"Pure instructional guide for Prefect workflow best practices. No code execution, credential handling, untrusted fetches, or injection vectors. References internal repo docs and official Prefect v3 API",,5822,13.52,0,0,False,False
openclaw-skills-rsquaredsolutions2026-odds-scanner,skillhub,skills,L0,False,False,False,False,0,,"Legitimate sports odds API integration. Clean curl/jq usage, appropriate API key handling, no obfuscation or injection vectors. Fetches from known public service (The Odds API).",,2192,28.38,0,0,False,False
openclaw-skills-samber-humaniseur-fr,skillhub,skills,L0,False,False,False,False,0,,"Benign text processing skill. Removes formulaic writing patterns from French content. No external fetches, credential usage, or code execution beyond safe file operations (Read/Edit/Write/Glob/Grep).",,20000,39.8,0,0,False,False
openclaw-skills-gora050-safegraph,skillhub,skills,L0,False,False,False,False,0,,"Legitimate SafeGraph data integration. Authenticated proxy via Membrane, server-side credential management. No code execution, prompt injection, or exfiltration vectors.",,4669,16.89,0,0,False,False
outfitter-dev-agents-bun-dev,skillhub,skills,L0,False,False,False,False,0,,"Educational documentation for Bun runtime. Shows secure patterns: prepared statements, argon2id/bcrypt hashing, schema validation, auto-escaped shell vars. No injection attempts, malware, secrets, or ",,20000,32.62,26,2,False,False
openclaw-skills-supermario11-cuihua-error-handler,skillhub,skills,L1,True,False,False,True,0,,AI-powered code analyzer requiring external LLM service; user code sent without shown escaping; potential injection via malicious code comments. Code generation requires pre-execution review. No expli,,18553,59.01,0,0,False,False
openclaw-skills-bro3886-rem-cli,skillhub,skills,L1,False,False,False,True,1,malicious_code,Legitimate macOS reminder CLI. curl|bash installation pattern present in docs; downloads binary from external source (rem.sidv.dev). No active threat; open-source Go project.,,6381,16.85,0,0,False,False
reggiechan74-claude-plugins-getting-started,skillhub,skills,L0,False,False,False,False,2,malicious_code,"Official Anthropic quickstart guide. Standard installation methods from trusted claude.ai domain. No injection attempts, no secrets exposed, no obfuscation. Legitimate documentation.",,7725,31.23,5,1,False,False
openclaw-skills-skill-inventory,skillhub,skills,L1,False,False,False,False,0,,Utility catalog tool for skill directory. Reads SKILL.md metadata from potentially untrusted skill sources but doesn't execute payloads. Safe inventory utility in flagged-unsafe repository context.,,1241,50.4,3680,0,False,False
gixi404-lymbrarie,skillhub,skills,L0,False,False,False,False,0,,"Benign project documentation. Lists env var names (not values), legitimate third-party libraries, architecture, and conventions. No prompt injection, code execution, or secret exposure detected.",,13504,15.12,4,0,False,False
openclaw-skills-xlionjuan-trash-cli,skillhub,skills,L0,False,False,False,False,0,,"Benign file utility. Well-known FreeDesktop.org tool, standard package manager install, no credentials/network/obfuscation, clear semantics.",,5994,26.9,0,0,False,False
openclaw-skills-heaven-ll-shuangwen-tiyanguan,skillhub,skills,L0,False,False,False,False,0,,"Text-based interactive fiction game hub with menu navigation. No code execution, prompt injection attempts, credential exposure, or network calls detected.",,4996,39.72,0,0,False,False
openclaw-skills-georges91560-voice-agent-v1,skillhub,skills,L2,False,False,True,True,0,,"Stores API keys/auth tokens plaintext in config.json/.env. Auto-navigates elevenlabs.io & twilio.com to retrieve credentials. Deploys autonomous agents via Telegram. No explicit exploits, but credenti",,20000,14.65,0,0,False,False
alchaincyf/steve-jobs-skill/steve-jobs-perspective,claudemarketplaces,skills,L1,False,False,False,False,0,,"Persona/perspective modifier skill. Empty description and unusual metrics (1700 installs, zero votes/comments in 5 days) warrant caution, but no explicit risk signals.",,498,34.18,729,1700,False,False
openclaw-skills-mkelk-coordinate-meeting,skillhub,skills,L1,False,False,False,False,0,,"Legitimate third-party scheduling service (Doodle alternative). Standard REST API integration with reasonable token security. No code execution, injection, or mishandled credentials.",,2988,59.31,0,0,False,False
openclaw-skills-shianaixuexi-cell-lobster-values,skillhub,skills,L1,False,False,False,False,0,,"Behavioral constraint config system for AI responses. No malicious payload/code. All guardrails are protective (refuse unsafe ops, verify sources, disclose errors). Risk: broad behavioral scope & deci",,6258,26.3,0,0,False,False
phuryn-pm-skills-value-prop-statements,skillhub,skills,L0,False,False,False,False,0,,"Benign marketing copywriting skill. Pure prompt template for value proposition generation; no code execution, credentials, network calls, or jailbreak attempts.",,20000,41.35,9097,1,False,False
openclaw-skills-delai-uimap,skillhub,skills,L2,False,False,False,True,1,malicious_code,Fetches UI operation guides from external backend service without clear validation. Installation via curl|bash is supply-chain risk pattern. OAuth login handled standardly.,,1886,61.52,0,0,False,False
openclaw-skills-pupuking723-spec-coding,skillhub,skills,L0,False,False,False,False,0,,"Generates spec docs from templates/code; reads local files; no external fetches, code execution, or LLM manipulation. Benign workflow tool.",,1878,13.36,0,0,False,False
openclaw-skills-gora050-nylas-integration,skillhub,skills,L0,False,False,False,False,0,,Standard API integration tool. Credentials managed server-side by Membrane; never stored locally. Authenticated proxy prevents credential leakage. No prompt/jailbreak/exec vectors.,,4487,26.56,0,0,False,False
openclaw-skills-githubchenda-persona-simulator,skillhub,skills,L3,True,False,False,False,0,,"Explicit jailbreak framework. Designed to override default behavior by forcing AI to adopt user-specified personas. Key indicators: 'maintain character always', 'never explain the setup', explicit per",,753,40.3,0,0,False,False
openclaw-skills-cocoonovo-notes-skill,skillhub,skills,L2,False,False,False,False,0,,Processes user input for database storage/search; SQL injection risk if queries lack parameterization. Local storage with automated backups is otherwise benign.,,2098,53.7,0,0,False,False
openclaw-skills-alarm-memo-assistant-pro,skillhub,skills,L0,False,False,False,False,0,,"Straightforward task-management skill. Legitimate cron/file/session integration requests, clear degradation paths when host capabilities unavailable. No obfuscation, injection, or exfiltration pattern",,3816,73.64,3680,6,False,False
secondsky-sap-skills-sap-datasphere,skillhub,skills,L0,False,False,False,False,0,,"Legitimate enterprise data warehouse documentation. No injection payloads, obfuscated exec, credential exfiltration, or jailbreak attempts. References standard SAP/cloud connections (normal practice).",,20000,107.54,175,3,False,False
openclaw-skills-ramboxie-claw-rpg,skillhub,skills,L2,True,False,False,False,0,,"Appends unsanitized user data (SOUL.md, MEMORY.md) as 'flavor text' to LLM replies. No sanitization shown; malformed user data could enable prompt injection via conversation hijacking.",,5054,32.61,0,0,False,False
doyajin174-myskills-triforce-sync-check,skillhub,skills,L0,False,False,False,False,0,,"Read-only verification skill using standard Unix utilities (ls, grep, find, md5) to validate skill sync consistency across local directories. No network calls, credential access, or code execution ris",,3797,46.65,1,2,False,False
